shipdate-clean,PRODUCTGROUPNAME,totalprice
2009-12-31,ARTWORK,585.0
2009-12-31,BOOK,151.95
2009-12-31,CALENDAR,53.849999999999994
2009-12-31,OCCASION,176.82
2010-01-04,APPAREL,39.95
2010-01-04,ARTWORK,1115.0
2010-01-04,BOOK,2213.839999999999
2010-01-04,CALENDAR,592.35
2010-01-04,OCCASION,393.25000000000006
2010-01-05,APPAREL,39.95
2010-01-05,ARTWORK,415.0
2010-01-05,BOOK,2592.800000000001
2010-01-05,CALENDAR,71.8
2010-01-05,OCCASION,469.02
2010-01-06,APPAREL,39.95
2010-01-06,ARTWORK,435.0
2010-01-06,BOOK,1616.4500000000005
2010-01-06,CALENDAR,17.95
2010-01-06,OCCASION,292.71000000000004
2010-01-07,APPAREL,32.95
2010-01-07,ARTWORK,90.0
2010-01-07,BOOK,2028.5000000000002
2010-01-07,CALENDAR,17.95
2010-01-07,OCCASION,78.67
2010-01-08,ARTWORK,275.0
2010-01-08,BOOK,942.7000000000002
2010-01-08,CALENDAR,81.8
2010-01-08,OCCASION,262.89
2010-01-11,ARTWORK,440.0
2010-01-11,BOOK,138.75
2010-01-12,ARTWORK,1040.0
2010-01-12,BOOK,462.2499999999999
2010-01-12,CALENDAR,143.6
2010-01-12,OCCASION,788.8199999999999
2010-01-13,ARTWORK,575.0
2010-01-13,BOOK,64.9
2010-01-13,OCCASION,78.05999999999999
2010-01-14,ARTWORK,1354.5
2010-01-14,BOOK,358.24999999999994
2010-01-14,CALENDAR,71.8
2010-01-14,OCCASION,313.61999999999995
2010-01-15,APPAREL,39.95
2010-01-15,ARTWORK,470.0
2010-01-15,BOOK,149.95
2010-01-15,CALENDAR,17.95
2010-01-15,OCCASION,157.24
2010-01-18,ARTWORK,1640.0
2010-01-18,BOOK,352.19999999999993
2010-01-18,OCCASION,1578.8500000000013
2010-01-19,ARTWORK,925.0
2010-01-19,BOOK,141.85
2010-01-19,CALENDAR,17.95
2010-01-19,OCCASION,1286.880000000001
2010-01-20,ARTWORK,720.0
2010-01-20,BOOK,1793.3999999999999
2010-01-20,OCCASION,19.63
2010-01-21,ARTWORK,390.0
2010-01-21,BOOK,131.45000000000002
2010-01-21,CALENDAR,17.95
2010-01-21,OCCASION,612.3100000000001
2010-01-22,ARTWORK,380.0
2010-01-22,BOOK,251.79999999999998
2010-01-22,CALENDAR,17.95
2010-01-22,OCCASION,1163.4900000000007
2010-01-25,APPAREL,39.95
2010-01-25,ARTWORK,225.0
2010-01-25,BOOK,249.69999999999996
2010-01-25,CALENDAR,17.95
2010-01-25,OCCASION,217.10000000000002
2010-01-26,ARTWORK,325.0
2010-01-26,BOOK,45.849999999999994
2010-01-26,CALENDAR,17.95
2010-01-26,OCCASION,96.11
2010-01-27,ARTWORK,1050.0
2010-01-27,BOOK,226.79999999999998
2010-01-27,OCCASION,330.26
2010-01-28,ARTWORK,30.0
2010-01-28,BOOK,29.9
2010-01-28,OCCASION,271.35
2010-01-29,ARTWORK,360.0
2010-01-29,BOOK,73.9
2010-01-29,OCCASION,194.44
2010-02-02,ARTWORK,0.0
2010-02-02,BOOK,116.75000000000001
2010-02-03,ARTWORK,10.0
2010-02-03,BOOK,14.95
2010-02-04,ARTWORK,1320.75
2010-02-04,BOOK,97.85000000000001
2010-02-04,OCCASION,581.5
2010-02-05,ARTWORK,205.0
2010-02-05,BOOK,126.9
2010-02-05,CALENDAR,17.95
2010-02-05,OCCASION,337.77
2010-02-08,APPAREL,0.0
2010-02-08,ARTWORK,715.0
2010-02-08,BOOK,51.849999999999994
2010-02-08,OCCASION,19.12
2010-02-09,ARTWORK,205.0
2010-02-09,BOOK,29.95
2010-02-09,CALENDAR,17.95
2010-02-09,OCCASION,492.44000000000005
2010-02-10,ARTWORK,275.0
2010-02-10,BOOK,96.95
2010-02-10,OCCASION,87.13
2010-02-11,ARTWORK,195.0
2010-02-11,OCCASION,95.6
2010-02-12,ARTWORK,245.0
2010-02-12,BOOK,96.75
2010-02-12,OCCASION,194.17
2010-02-17,ARTWORK,420.0
2010-02-17,BOOK,86.65
2010-02-17,CALENDAR,20.0
2010-02-17,OCCASION,137.18
2010-02-18,ARTWORK,500.0
2010-02-18,BOOK,15.0
2010-02-18,CALENDAR,0.0
2010-02-19,ARTWORK,255.0
2010-02-19,BOOK,143.75
2010-02-19,CALENDAR,35.9
2010-02-19,OCCASION,224.35999999999999
2010-02-22,ARTWORK,195.0
2010-02-23,BOOK,30.95
2010-02-24,ARTWORK,470.0
2010-02-24,BOOK,135.41000000000003
2010-02-24,CALENDAR,17.95
2010-02-24,OCCASION,194.87
2010-02-25,ARTWORK,1560.0
2010-02-25,OCCASION,70.22
2010-02-26,ARTWORK,0.0
2010-02-26,BOOK,64.9
2010-02-26,OCCASION,77.6
2010-03-01,ARTWORK,205.0
2010-03-01,BOOK,169.75
2010-03-01,OCCASION,38.8
2010-03-02,ARTWORK,20.0
2010-03-02,BOOK,84.7
2010-03-03,ARTWORK,20.0
2010-03-03,BOOK,38.9
2010-03-03,OCCASION,57.36
2010-03-04,ARTWORK,10.0
2010-03-04,BOOK,47.9
2010-03-04,CALENDAR,17.95
2010-03-04,OCCASION,152.96
2010-03-05,ARTWORK,195.0
2010-03-05,BOOK,92.9
2010-03-05,CALENDAR,17.95
2010-03-05,OCCASION,156.62
2010-03-08,CALENDAR,17.95
2010-03-09,APPAREL,998.7500000000005
2010-03-09,ARTWORK,0.0
2010-03-09,BOOK,2615.349999999999
2010-03-09,CALENDAR,107.7
2010-03-09,OCCASION,109.56
2010-03-10,APPAREL,359.54999999999995
2010-03-10,ARTWORK,195.0
2010-03-10,BOOK,693.35
2010-03-10,CALENDAR,35.9
2010-03-10,OCCASION,19.12
2010-03-11,APPAREL,279.65
2010-03-11,ARTWORK,30.0
2010-03-11,BOOK,2903.4500000000003
2010-03-11,CALENDAR,53.849999999999994
2010-03-11,OCCASION,0.0
2010-03-12,ARTWORK,20.0
2010-03-12,BOOK,1088.2
2010-03-15,APPAREL,239.7
2010-03-15,ARTWORK,0.0
2010-03-15,BOOK,4905.65
2010-03-16,BOOK,491.2499999999999
2010-03-16,CALENDAR,17.95
2010-03-16,OCCASION,19.12
2010-03-17,APPAREL,79.9
2010-03-17,BOOK,129.9
2010-03-17,OCCASION,0.0
2010-03-18,APPAREL,119.85000000000001
2010-03-18,ARTWORK,60.0
2010-03-18,BOOK,100.0
2010-03-18,CALENDAR,35.9
2010-03-19,APPAREL,119.85000000000001
2010-03-19,ARTWORK,555.0
2010-03-19,BOOK,218.64999999999998
2010-03-19,OCCASION,133.44
2010-03-22,APPAREL,79.9
2010-03-22,ARTWORK,3170.0
2010-03-22,BOOK,216.70000000000002
2010-03-22,CALENDAR,53.849999999999994
2010-03-23,ARTWORK,2870.75
2010-03-23,BOOK,136.9
2010-03-23,OCCASION,114.72000000000001
2010-03-24,APPAREL,39.95
2010-03-24,ARTWORK,535.0
2010-03-24,BOOK,103.75
2010-03-24,CALENDAR,0.0
2010-03-25,APPAREL,39.95
2010-03-25,ARTWORK,2885.0
2010-03-25,BOOK,103.9
2010-03-25,OCCASION,0.0
2010-03-26,ARTWORK,1090.0
2010-03-26,BOOK,162.9
2010-03-29,ARTWORK,915.0
2010-03-29,BOOK,8.95
2010-03-30,ARTWORK,2160.0
2010-03-30,BOOK,182.9
2010-03-30,OCCASION,38.8
2010-03-31,ARTWORK,175.0
2010-03-31,BOOK,511.4
2010-03-31,OCCASION,19.12
2010-04-01,ARTWORK,350.0
2010-04-01,CALENDAR,17.95
2010-04-01,OCCASION,19.12
2010-04-02,BOOK,94.80000000000001
2010-04-02,OCCASION,19.12
2010-04-05,APPAREL,39.95
2010-04-05,ARTWORK,935.0
2010-04-05,BOOK,71.95
2010-04-05,CALENDAR,17.95
2010-04-05,OCCASION,19.68
2010-04-06,ARTWORK,3100.0
2010-04-06,BOOK,64.95
2010-04-07,APPAREL,39.95
2010-04-07,ARTWORK,1605.0
2010-04-07,BOOK,149.0
2010-04-07,OCCASION,208.59000000000003
2010-04-08,BOOK,34.849999999999994
2010-04-08,OCCASION,38.24
2010-04-09,ARTWORK,4781.5
2010-04-09,BOOK,158.59999999999997
2010-04-09,OCCASION,215.31000000000003
2010-04-12,ARTWORK,4010.0
2010-04-12,BOOK,49.95
2010-04-13,ARTWORK,175.0
2010-04-13,BOOK,81.85000000000001
2010-04-13,OCCASION,57.36
2010-04-14,ARTWORK,285.0
2010-04-14,BOOK,284.44999999999993
2010-04-14,CALENDAR,17.95
2010-04-14,OCCASION,57.36
2010-04-15,ARTWORK,420.0
2010-04-15,BOOK,359.54999999999995
2010-04-15,CALENDAR,17.95
2010-04-15,OCCASION,289.02
2010-04-16,ARTWORK,60.0
2010-04-16,BOOK,74.8
2010-04-16,OCCASION,401.52000000000004
2010-04-19,ARTWORK,7530.0
