OrderDate,Year,TotalAmount,Latitude,Longitude,ZipCode,Location,City,State,Log(TotalRevenue)
2013-02-11,2013,333.75,40.951496,-73.78653,10804,"10804-NEW ROCHELLE, NY",NEW ROCHELLE,NY,5.810392209714459
2015-09-23,2015,306.0,33.007076,-117.25676999999999,92075,"92075-SOLANA BEACH, CA",SOLANA BEACH,CA,5.723585101952381
2011-11-26,2011,244.65,39.433205,-76.65459399999997,21093,"21093-TIMONIUM, MD",TIMONIUM,MD,5.499828617735132
2014-12-30,2014,220.45,41.109699,-73.827995,10562,"10562-OSSINING, NY",OSSINING,NY,5.395670911803947
2010-07-23,2010,195.0,38.885483,-77.099113,22201,"22201-ARLINGTON, VA",ARLINGTON,VA,5.272999558563747
2011-03-28,2011,195.0,32.889549,-97.14341,76034,"76034-COLLEYVILLE, TX",COLLEYVILLE,TX,5.272999558563747
2013-10-28,2013,195.0,40.8601,-73.442314,11724,"11724-COLD SPRING HARBOR, NY",COLD SPRING HARBOR,NY,5.272999558563747
2012-08-07,2012,195.0,41.83968,-88.08871500000002,60527,"60527-BURR RIDGE, IL",BURR RIDGE,IL,5.272999558563747
2014-10-14,2014,195.0,40.55370300000001,-105.26642,80537,"80537-LOVELAND, CO",LOVELAND,CO,5.272999558563747
2013-03-21,2013,175.5,37.886326000000004,-122.56293000000001,94941,"94941-MILL VALLEY, CA",MILL VALLEY,CA,5.167639042905921
2012-10-08,2012,175.0,35.587154,-97.56841999999999,73120,"73120-OKLAHOMA CITY, OK",OKLAHOMA CITY,OK,5.1647859739235145
2016-01-02,2016,119.95,26.350272999999998,-80.158363,33433,"33433-BOCA RATON, FL",BOCA RATON,FL,4.787074989285704
2014-08-11,2014,97.9,33.786594,-118.29866000000001,91605,"91605-N HOLLYWOOD, CA",N HOLLYWOOD,CA,4.583946549536464
2011-11-03,2011,89.85,31.970131,-111.89072,85728,"85728-TUCSON, AZ",TUCSON,AZ,4.498141613229568
2015-05-27,2015,80.95,25.852073999999998,-80.182121,33138,"33138-MIAMI SHORES, FL",MIAMI SHORES,FL,4.393831680123644
2013-12-13,2013,77.8,45.483340999999996,-122.59615,97206,"97206-PORTLAND, OR",PORTLAND,OR,4.354141431184346
2014-07-09,2014,69.93,39.708637,-104.93123999999999,80246,"80246-DENVER, CO",DENVER,CO,4.247494741715776
2012-01-16,2012,69.9,41.811928,-87.68731700000002,60657,"60657-CHICAGO, IL",CHICAGO,IL,4.247065649239764
2013-12-28,2013,61.05,26.664441999999998,-80.174118,33411,"33411-W PALM BEACH, FL",W PALM BEACH,FL,4.111693200556713
2012-11-06,2012,51.95,38.898357,-94.637688,66209,"66209-SHAWNEE MISSION, KS",SHAWNEE MISSION,KS,3.9502817175452365
2011-01-01,2011,51.07,47.432251,-121.80339,98144,"98144-SEATTLE, WA",SEATTLE,WA,3.9331972406595526
2014-12-16,2014,43.95,31.213223,-81.44914200000002,31522,"31522-ST SIMONS ISLAND, GA",ST SIMONS ISLAND,GA,3.783052624131186
2012-07-24,2012,43.1,42.060928000000004,-87.883072,60005,"60005-ARLINGTON HEIGHTS, IL",ARLINGTON HEIGHTS,IL,3.763522997109702
2010-12-06,2010,42.9,37.721981,-122.43938,94112,"94112-SAN FRANCISCO, CA",SAN FRANCISCO,CA,3.758871825933971
2015-11-18,2015,42.25,40.738087,-74.005096,10014,"10014-NEW YORK, NY",NEW YORK,NY,3.7436043538031827
2015-10-28,2015,40.45,27.241077,-82.351349,34241,"34241-SARASOTA, FL",SARASOTA,FL,3.700066643504501
2014-08-18,2014,39.0,39.039974,-77.044449,20902,"20902-SILVER SPRING, MD",SILVER SPRING,MD,3.6635616461296463
2015-12-02,2015,38.45,40.67815,-73.50952099999998,11793,"11793-WANTAGH, NY",WANTAGH,NY,3.649358695951653
2014-12-04,2014,37.9,44.905163,-93.340324,55424,"55424-EDINA, MN",EDINA,MN,3.634951112088381
2010-11-29,2010,35.0,41.021687,-73.76604499999998,10606,"10606-WHITE PLAINS, NY",WHITE PLAINS,NY,3.5553480614894135
2012-05-07,2012,34.95,33.786594,-118.29866000000001,91107,"91107-PASADENA, CA",PASADENA,CA,3.5539184686798193
2011-11-27,2011,34.95,35.154877,-90.04962900000002,38103,"38103-MEMPHIS, TN",MEMPHIS,TN,3.5539184686798193
2016-06-05,2016,31.5,33.816452000000005,-84.285774,30033,"30033-DECATUR, GA",DECATUR,GA,3.449987545831587
2011-03-17,2011,31.45,40.780991,-73.951576,10128,"10128-NEW YORK, NY",NEW YORK,NY,3.4483989831464497
2015-11-03,2015,29.98,40.895607,-81.433037,44720,"44720-NORTH CANTON, OH",NORTH CANTON,OH,3.4005304926744517
2013-11-16,2013,29.95,41.208519,-73.568123,10576,"10576-POUND RIDGE, NY",POUND RIDGE,NY,3.3995293245614584
2014-05-01,2014,27.0,40.700455,-73.94925699999997,11206,"11206-BROOKLYN, NY",BROOKLYN,NY,3.295836866004329
2015-11-07,2015,26.95,25.709978,-80.173294,33149,"33149-MIAMI, FL",MIAMI,FL,3.2939832973550063
2013-11-21,2013,26.95,39.764713,-75.506889,19809,"19809-WILMINGTON, DE",WILMINGTON,DE,3.2939832973550063
2015-12-03,2015,26.95,40.36882,-80.0224,15234,"15234-PITTSBURGH, PA",PITTSBURGH,PA,3.2939832973550063
2012-06-21,2012,26.9,40.009147999999996,-76.367134,17603,"17603-LANCASTER, PA",LANCASTER,PA,3.292126286607793
2013-09-13,2013,26.0,37.789597,-122.39563000000001,94105,"94105-SAN FRANCISCO, CA",SAN FRANCISCO,CA,3.258096538021482
2014-09-09,2014,25.95,26.131501999999998,-97.55242199999999,78566,"78566-LOS FRESNOS, TX",LOS FRESNOS,TX,3.2561716096118976
2014-08-09,2014,25.0,42.223304999999996,-83.72934000000002,48108,"48108-ANN ARBOR, MI",ANN ARBOR,MI,3.2188758248682006
2013-10-30,2013,24.95,40.674583,-73.781563,11434,"11434-JAMAICA, NY",JAMAICA,NY,3.2168738221975275
2014-02-17,2014,23.4,40.776764,-73.98221600000002,10023,"10023-NEW YORK, NY",NEW YORK,NY,3.152736022363656
2010-09-14,2010,22.5,40.124886,-75.357025,19403,"19403-NORRISTOWN, PA",NORRISTOWN,PA,3.1135153092103742
2013-12-05,2013,21.5,26.645658,-80.251442,33414,"33414-WELLINGTON, FL",WELLINGTON,FL,3.068052935133617
2014-10-13,2014,20.76,37.748932,-122.41628,94110,"94110-SAN FRANCISCO, CA",SAN FRANCISCO,CA,3.033028058297688
2013-07-19,2013,20.7,33.863953,-84.422028,30327,"30327-ATLANTA, GA",ATLANTA,GA,3.0301337002713233
2015-08-28,2015,20.65,47.432251,-121.80339,98104,"98104-SEATTLE, WA",SEATTLE,WA,3.027715319407042
2012-08-10,2012,20.25,38.980232,-77.026299,20012,"20012-WASHINGTON, DC",WASHINGTON,DC,3.0081547935525483
2011-01-16,2011,20.25,36.856346,-76.053566,23451,"23451-VIRGINIA BEACH, VA",VIRGINIA BEACH,VA,3.0081547935525483
2011-01-10,2011,20.25,40.946106,-73.866928,10701,"10701-YONKERS, NY",YONKERS,NY,3.0081547935525483
2011-07-21,2011,20.25,41.811928,-87.68731700000002,60614,"60614-CHICAGO, IL",CHICAGO,IL,3.0081547935525483
2011-01-21,2011,20.25,32.841251,-96.698402,75214,"75214-DALLAS, TX",DALLAS,TX,3.0081547935525483
2011-07-19,2011,20.25,45.54734000000001,-122.73236000000001,97210,"97210-PORTLAND, OR",PORTLAND,OR,3.0081547935525483
2012-06-12,2012,20.02,44.850563,-93.44043,55344,"55344-EDEN PRAIRIE, MN",EDEN PRAIRIE,MN,2.9967317738870745
2012-04-03,2012,20.0,40.77663,-73.953911,10028,"10028-NEW YORK, NY",NEW YORK,NY,2.995732273553991
2010-10-05,2010,19.68,25.848623,-80.144615,33141,"33141-MIAMI BEACH, FL",MIAMI BEACH,FL,2.9796028916241073
2011-11-13,2011,19.57,43.073147,-89.45681,53705,"53705-MADISON, WI",MADISON,WI,2.9739977814079848
2013-11-12,2013,18.95,40.946106,-73.866928,10701,"10701-YONKERS, NY",YONKERS,NY,2.9418039315284354
2014-04-01,2014,18.9,42.411095,-74.42750500000002,12076,"12076-GILBOA, NY",GILBOA,NY,2.9391619220655967
2012-05-02,2012,18.0,26.38420300000001,-80.08111600000002,33432,"33432-BOBA RATON, FL",BOBA RATON,FL,2.8903717578961645
2015-05-03,2015,16.95,47.432251,-121.80339,98117,"98117-SEATTLE, WA",SEATTLE,WA,2.830267833826459
2012-10-08,2012,16.95,40.758774,-73.967842,10022,"10022-NEW YORK, NY",NEW YORK,NY,2.830267833826459
2013-08-02,2013,16.15,40.652252000000004,-73.711777,11581,"11581-VALLEY STREAM, NY",VALLEY STREAM,NY,2.7819200496686656
2013-11-03,2013,16.0,29.208908,-81.002274,32118,"32118-DAYTONA BEACH, FL",DAYTONA BEACH,FL,2.772588722239781
2011-02-14,2011,15.95,43.08202,-87.889534,53211,"53211-MILWAUKEE, WI",MILWAUKEE,WI,2.7694588292308535
2013-05-12,2013,15.25,26.378704,-80.10434000000002,33431,"33431-BOCA RATON, FL",BOCA RATON,FL,2.7245795030534206
2015-12-16,2015,15.0,40.27774,-94.860298,64468,"64468-MARYVILLE, MO",MARYVILLE,MO,2.70805020110221
2012-12-26,2012,15.0,40.739025,-73.98354300000003,10010,"10010-NEW YORK, NY",NEW YORK,NY,2.70805020110221
2013-12-20,2013,15.0,38.016621,-122.65965,94963,"94963-SAN GERONIMO, CA",SAN GERONIMO,CA,2.70805020110221
2015-11-02,2015,14.95,40.675282,-73.800697,11436,"11436-SOUTH OZONE PARK, NY",SOUTH OZONE PARK,NY,2.7047112998366956
2013-11-13,2013,14.95,40.668503,-73.553627,11566,"11566-MERRICK, NY",MERRICK,NY,2.7047112998366956
2011-01-03,2011,14.95,37.204765,-77.39278399999998,23804,"23804-PETERSBURG, VA",PETERSBURG,VA,2.7047112998366956
2015-09-05,2015,13.45,40.708858,-74.01621999999998,10280,"10280-NEW YORK, NY",NEW YORK,NY,2.598979106047848
2014-09-29,2014,12.95,42.770065,-74.08596,12056,"12056-DUANESBURG, NY",DUANESBURG,NY,2.5610957881455465
2012-02-07,2012,12.95,41.343094,-74.316826,10950,"10950-MONROE, NY",MONROE,NY,2.5610957881455465
2013-12-06,2013,11.95,42.239933,-83.150826,48208,"48208-DETROIT, MI",DETROIT,MI,2.4807312783775197
2014-11-28,2014,11.95,41.811928,-87.68731700000002,60619,"60619-CHIGAGO, IL",CHIGAGO,IL,2.4807312783775197
2013-08-22,2013,11.66,29.833990000000004,-95.434242,77096,"77096-HOUSTON, TX",HOUSTON,TX,2.4561641809223462
2013-12-06,2013,10.75,41.007599,-73.748573,10605,"10605-WHITE PLAINS, NY",WHITE PLAINS,NY,2.3749057545736716
2010-11-03,2010,10.0,36.61525,-121.79501,93923,"93923-CARMEL, CA",CARMEL,CA,2.302585092994046
2011-01-10,2011,10.0,32.77142,-97.291481,76110,"76110-FORT WORTH, TX",FORT WORTH,TX,2.302585092994046
2013-12-23,2013,9.95,41.122623,-73.86725600000003,10520,"10520-CROTON ON HUDSON, NY",CROTON ON HUDSON,NY,2.2975725511705014
2015-06-27,2015,6.95,42.273499,-88.072586,60010,"60010-INVERNESS, IL",INVERNESS,IL,1.9387416595767009
2015-08-09,2015,6.29,40.992687,-73.799477,10583,"10583-SCARSDALE, NY",SCARSDALE,NY,1.8389610707123492
2015-01-09,2015,0.0,39.102406,-94.598579,64101,"64101-KANSAS CITY, MO",KANSAS CITY,MO,0.0
2012-09-05,2012,0.0,46.752609,-122.05516999999999,98304,"98304-ASHFORD, WA",ASHFORD,WA,0.0
2010-08-12,2010,0.0,33.52964,-79.048218,29576,"29576-MURRELLS INLET, SC",MURRELLS INLET,SC,0.0
2014-06-05,2014,0.0,42.221878000000004,-122.7701,97540,"97540-TALENT, OR",TALENT,OR,0.0
2012-12-05,2012,0.0,42.493641,-73.85835300000002,12143,"12143-RAVENA, NY",RAVENA,NY,0.0
2011-07-21,2011,0.0,38.791843,-81.728065,25271,"25271-RIPLEY, WV",RIPLEY,WV,0.0
2015-03-25,2015,0.0,33.932175,-84.181885,30093,"30093-NORCROSS, GA",NORCROSS,GA,0.0
2014-02-13,2014,0.0,29.833990000000004,-95.434242,77433,"77433-CYPRESS, TX",CYPRESS,TX,0.0
2014-05-18,2014,0.0,30.652121,-96.341011,77844,"77844-COLLEGE STATION, TX",COLLEGE STATION,TX,0.0
2015-06-15,2015,0.0,27.799124,-80.483101,32958,"32958-SEBASTIAN, FL",SEBASTIAN,FL,0.0
2015-05-09,2015,0.0,29.49645,-95.052261,77573,"77573-LEAGUE CITY, TX",LEAGUE CITY,TX,0.0
2010-01-14,2010,0.0,47.288589,-122.7776,98349,"98349-LAKEBAY, WA",LAKEBAY,WA,0.0
2014-12-30,2014,0.0,38.97949600000001,-76.89585100000002,20740,"20740-COLLEGE PARK, MD",COLLEGE PARK,MD,0.0
2015-04-17,2015,0.0,43.922096,-89.310982,54960,"54960-NESHKORO, WI",NESHKORO,WI,0.0
2011-09-23,2011,0.0,36.92709,-119.67056000000001,93704,"93704-FRESNO, CA",FRESNO,CA,0.0
2011-02-24,2011,0.0,42.835018,-83.42298100000002,48462,"48462-ORTONVILLE, MI",ORTONVILLE,MI,0.0
2012-05-12,2012,0.0,35.715973,-78.747742,27606,"27606-RALEIGH, NC",RALEIGH,NC,0.0
2011-03-29,2011,0.0,35.911217,-78.91776999999998,27713,"27713-DURHAM, NC",DURHAM,NC,0.0
2012-01-14,2012,0.0,41.878799,-74.34568,12588,"12588-WALKER VALLEY, NY",WALKER VALLEY,NY,0.0
2010-08-22,2010,0.0,33.408443,-111.53509,85220,"85220-APACHE JCT, AZ",APACHE JCT,AZ,0.0
2013-06-10,2013,0.0,35.382053000000006,-81.774002,28040,"28040-ELLENBORO, NC",ELLENBORO,NC,0.0
2014-12-27,2014,0.0,34.772648,-92.340149,72207,"72207-LITTLE ROCK, AR",LITTLE ROCK,AR,0.0
2015-10-08,2015,0.0,40.78075,-73.97718,10163,"10163-NEW YORK, NY",NEW YORK,NY,0.0
2014-01-03,2014,0.0,38.911316,-77.9674,20144,"20144-DELAPLANE, VA",DELAPLANE,VA,0.0
2012-08-13,2012,0.0,30.39736,-87.458794,36549,"36549-LILLIAN, AL",LILLIAN,AL,0.0
2011-12-26,2011,0.0,28.584024,-81.779427,34711,"34711-CLERMONT, FL",CLERMONT,FL,0.0
2012-05-01,2012,0.0,38.440059999999995,-122.7106,95402,"95402-SANTA ROSA, CA",SANTA ROSA,CA,0.0
2013-08-04,2013,0.0,44.980614,-93.17712399999999,55108,"55108-ST PAUL, MN",ST PAUL,MN,0.0
2014-12-16,2014,0.0,40.739025,-73.98354300000003,10010,"10010-NEW YORK, NY",NEW YORK,NY,0.0
2013-04-23,2013,0.0,39.638165,-106.62064,81632,"81632-EDWARDS, CO",EDWARDS,CO,0.0
2013-03-01,2013,0.0,41.67256500000001,-85.000473,46703,"46703-ANGOLA, IN",ANGOLA,IN,0.0
2011-09-16,2011,0.0,44.803612,-91.44225300000001,54720,"54720-ALTOONA, WI",ALTOONA,WI,0.0
2014-04-13,2014,0.0,42.596092,-83.381889,48324,"48324-ORCHARD LAKE, MI",ORCHARD LAKE,MI,0.0
2016-05-02,2016,0.0,42.584789,-83.28211999999998,48302,"48302-BLOOMFIELD HILLS, MI",BLOOMFIELD HILLS,MI,0.0
2013-05-14,2013,0.0,39.969035999999996,-83.011391,43228,"43228-COLUMBUS, OH",COLUMBUS,OH,0.0
2013-01-25,2013,0.0,41.796279999999996,-88.012268,60515,"60515-DOWNERS GROVE, IL",DOWNERS GROVE,IL,0.0
2016-09-07,2016,0.0,33.276539,-112.18717,85302,"85302-GLENDALE, AZ",GLENDALE,AZ,0.0
2014-06-09,2014,0.0,26.11363,-80.41699200000002,33327,"33327-WESTON, FL",WESTON,FL,0.0
