Zipcode,Date,TotalSpent,Latitude,Longitude,City,State,Location,Log10(TotalSpent),Year
19946,2014-04-28,0.0,39.02314000000001,-75.481911,FREDERICA,DE,"19946-FREDERICA, DE",0.0,2014
61637,2010-06-12,0.0,40.702488,-89.589798,PEORIA,IL,"61637-PEORIA, IL",0.0,2010
44667,2010-08-09,0.0,40.788723,-81.850601,ORRVILLE,OH,"44667-ORRVILLE, OH",0.0,2010
62301,2013-03-06,0.0,39.952412,-91.200676,QUINCY,IL,"62301-QUINCY, IL",0.0,2013
33142,2014-05-13,0.0,25.811575,-80.236824,MIAMI,FL,"33142-MIAMI, FL",0.0,2014
57078,2011-03-27,0.0,42.943958,-97.376892,YANKTON,SD,"57078-YANKTON, SD",0.0,2011
80016,2016-06-18,0.0,39.601173,-104.73943,AURORA,CO,"80016-AURORA, CO",0.0,2016
21502,2013-01-21,0.0,39.599152,-78.844421,COMBERLAND,MD,"21502-COMBERLAND, MD",0.0,2013
53024,2014-12-05,0.0,43.299957,-87.94104,GRAFTON,WI,"53024-GRAFTON, WI",0.0,2014
18518,2012-05-21,0.0,41.37278,-75.730835,OLD FORGE,PA,"18518-OLD FORGE, PA",0.0,2012
60656,2013-02-07,0.0,41.97353,-87.86576099999998,CHICAGO,IL,"60656-CHICAGO, IL",0.0,2013
14620,2011-12-01,0.0,43.12986400000001,-77.618523,ROCHESTER,NY,"14620-ROCHESTER, NY",0.0,2011
44050,2015-03-03,0.0,41.258202,-82.119675,LAGRANGE,OH,"44050-LAGRANGE, OH",0.0,2015
8063,2015-11-17,0.0,39.779655,-75.218414,PAFOS,0,"8063-PAFOS, nan",0.0,2015
89143,2012-12-02,0.0,36.317802,-115.26194,LAS VEGAS,NV,"89143-LAS VEGAS, NV",0.0,2012
21638,2011-02-15,0.0,39.019051,-76.115898,GRASONVILLE,MD,"21638-GRASONVILLE, MD",0.0,2011
19087,2012-09-26,0.0,39.985958,-75.37093399999998,WAYNE,PA,"19087-WAYNE, PA",0.0,2012
62958,2011-04-09,0.0,37.687073,-89.25093100000002,MAKANDA,IL,"62958-MAKANDA, IL",0.0,2011
32119,2014-12-21,0.0,29.150621,-81.025223,SOUTH DAYTONA,FL,"32119-SOUTH DAYTONA, FL",0.0,2014
34685,2012-02-16,0.0,28.109716,-82.692879,PALM HARBOR,FL,"34685-PALM HARBOR, FL",0.0,2012
