polar,Channel,Value
N,AD,29.970158211385193
NNE,AD,27.170507382573756
NE,AD,33.404760527891746
ENE,AD,34.85502705212613
E,AD,29.141723900866687
ESE,AD,32.773886147378214
SE,AD,21.64523653096099
SSE,AD,35.4068561781753
S,AD,26.855558515852643
SSW,AD,43.35686249999999
SW,AD,21.161995833333336
WSW,AD,31.395751017065212
W,AD,36.489332301218184
WNW,AD,29.321921393756043
NW,AD,33.13373015873016
NNW,AD,20.057008360596146
N,BULK,0.0
NNE,BULK,0.0
NE,BULK,0.021774632553075667
ENE,BULK,5.458479345368747
E,BULK,0.08259753593429159
ESE,BULK,3.4262187088274048
SE,BULK,0.0
SSE,BULK,3.801762114537445
S,BULK,0.0
SSW,BULK,0.0
SW,BULK,0.0
WSW,BULK,0.02750826901874311
W,BULK,0.031978609625668446
WNW,BULK,0.08397988505747127
NW,BULK,0.0
NNW,BULK,0.15267175572519084
N,CATALOG,0.2746109510086456
NNE,CATALOG,0.2477220956719818
NE,CATALOG,1.3370186898929413
ENE,CATALOG,4.6546491603634506
E,CATALOG,0.6581827515400411
ESE,CATALOG,2.392880434782609
SE,CATALOG,0.0
SSE,CATALOG,0.0
S,CATALOG,1.1606846473029047
SSW,CATALOG,0.0
SW,CATALOG,0.0
WSW,CATALOG,2.633131201764057
W,CATALOG,3.003200534759358
WNW,CATALOG,0.34382183908045977
NW,CATALOG,0.3208333333333333
NNW,CATALOG,0.1782442748091603
N,CONFERENCE,0.0
NNE,CONFERENCE,0.0
NE,CONFERENCE,0.05443658138268917
ENE,CONFERENCE,0.0
E,CONFERENCE,0.1026694045174538
ESE,CONFERENCE,0.0
SE,CONFERENCE,0.0
SSE,CONFERENCE,0.0
S,CONFERENCE,0.2074688796680498
SSW,CONFERENCE,0.0
SW,CONFERENCE,0.0
WSW,CONFERENCE,0.0
W,CONFERENCE,0.0
WNW,CONFERENCE,0.0
NW,CONFERENCE,0.0
NNW,CONFERENCE,0.0
N,EMAIL,0.14971181556195967
NNE,EMAIL,0.12972665148063783
NE,EMAIL,0.3470495372890583
ENE,EMAIL,0.9930781046910079
E,EMAIL,0.13372689938398358
ESE,EMAIL,0.5976185770750988
SE,EMAIL,0.0
SSE,EMAIL,0.4403083700440529
S,EMAIL,0.20300829875518675
SSW,EMAIL,0.0
SW,EMAIL,0.0
WSW,EMAIL,0.5567034178610805
W,EMAIL,1.975347593582888
WNW,EMAIL,0.47291666666666665
NW,EMAIL,0.4166666666666667
NNW,EMAIL,0.0
N,EMPLOYEE,0.2247406340057637
NNE,EMPLOYEE,0.15867881548974944
NE,EMPLOYEE,0.35948043307324745
ENE,EMPLOYEE,3.578283793203724
E,EMPLOYEE,1.2286344969199179
ESE,EMPLOYEE,1.892249670619236
SE,EMPLOYEE,0.0
SSE,EMPLOYEE,0.04475770925110132
S,EMPLOYEE,0.8782883817427387
SSW,EMPLOYEE,1.431
SW,EMPLOYEE,0.5495
WSW,EMPLOYEE,0.6626240352811467
W,EMPLOYEE,0.5556791443850267
WNW,EMPLOYEE,0.3453879310344828
NW,EMPLOYEE,0.0
NNW,EMPLOYEE,0.0
N,INSERT,4.174990393852068
NNE,INSERT,2.792877752467731
NE,INSERT,4.098001859916525
ENE,INSERT,7.0376310753063205
E,INSERT,3.9420970225872676
ESE,INSERT,7.6968963019166745
SE,INSERT,2.8388067061143984
SSE,INSERT,8.357588105726872
S,INSERT,5.517496196403872
SSW,INSERT,16.79025
SW,INSERT,2.50275
WSW,INSERT,7.250493849743283
W,INSERT,6.474203208556141
WNW,INSERT,5.365815852490418
NW,INSERT,1.4941666666666666
NNW,INSERT,2.509923664122137
N,INTERNAL,0.10645533141210374
NNE,INTERNAL,0.0
NE,INTERNAL,0.0
ENE,INTERNAL,0.19142126019142147
E,INTERNAL,0.14064339493497605
ESE,INTERNAL,0.0
SE,INTERNAL,0.0
SSE,INTERNAL,0.0
S,INTERNAL,0.01579356846473029
SSW,INTERNAL,0.0
SW,INTERNAL,0.0
WSW,INTERNAL,0.0
W,INTERNAL,0.0
WNW,INTERNAL,0.0
NW,INTERNAL,0.0
NNW,INTERNAL,0.0
N,MAIL,1.4209654178674351
NNE,MAIL,2.8459453302961277
NE,MAIL,3.210153783342404
ENE,MAIL,4.522098125406438
E,MAIL,2.5996098562628327
ESE,MAIL,3.090878623188405
SE,MAIL,0.9273964497041419
SSE,MAIL,1.3740969162995595
S,MAIL,1.9682883817427383
SSW,MAIL,1.300875
SW,MAIL,2.08575
