shipdate,productid,orderid,totalprice,PRODUCTID,PRODUCTGROUPNAME,campaignid,shipyear,freeshippingflag,channel,log_totalprice
2013-11-15 00:00:00,11124,1083968,26.96,11124,APPAREL,2236,2013,N,WEB,3.2943542860441064
2014-08-20 00:00:00,12510,1141183,0.0,12510,APPAREL,2180,2014,N,PARTNER,-inf
2015-06-29 00:00:00,13144,1330149,23.95,13144,APPAREL,2235,2015,N,PARTNER,3.175968323856924
2016-08-22 00:00:00,14026,1623132,15.0,14026,APPAREL,2236,2016,N,WEB,2.70805020110221
2014-09-15 00:00:00,12510,1143999,26.95,12510,APPAREL,2141,2014,N,PARTNER,3.2939832973550063
2011-12-14 00:00:00,11154,1054451,15.95,11154,APPAREL,2236,2011,N,WEB,2.7694588292308535
2013-12-02 00:00:00,11016,1091310,10.95,11016,APPAREL,2236,2013,N,WEB,2.3933394562625097
2014-11-07 00:00:00,12952,1162114,15.95,12952,APPAREL,2076,2014,Y,AD,2.7694588292308535
2015-05-27 00:00:00,13144,1305432,23.95,13144,APPAREL,2235,2015,N,PARTNER,3.175968323856924
2012-09-20 00:00:00,11153,1045664,15.95,11153,APPAREL,2173,2012,N,AD,2.7694588292308535
2014-12-16 00:00:00,12845,1192140,26.95,12845,APPAREL,2141,2014,N,PARTNER,3.2939832973550063
2014-08-20 00:00:00,12510,1143431,26.95,12510,APPAREL,2141,2014,N,PARTNER,3.2939832973550063
2015-12-13 00:00:00,13334,1446515,32.95,13334,APPAREL,2236,2015,N,WEB,3.4949912609485163
2014-01-29 00:00:00,11016,1093801,10.95,11016,APPAREL,2236,2014,N,WEB,2.3933394562625097
2016-06-23 00:00:00,13967,1585195,12.95,13967,APPAREL,2173,2016,N,AD,2.5610957881455465
2015-06-03 00:00:00,11126,1310288,27.96,11126,APPAREL,2103,2015,Y,WEB,3.3307749173656096
2016-06-13 00:00:00,13973,1577173,12.95,13973,APPAREL,2173,2016,N,AD,2.5610957881455465
2013-12-17 00:00:00,11125,1111994,59.9,11125,APPAREL,2236,2013,N,WEB,4.092676505121403
2014-08-20 00:00:00,12510,1140169,26.95,12510,APPAREL,2141,2014,N,PARTNER,3.2939832973550063
2014-09-11 00:00:00,12510,1145221,0.0,12510,APPAREL,2180,2014,N,PARTNER,-inf
2014-08-20 00:00:00,12510,1141213,0.0,12510,APPAREL,2180,2014,N,PARTNER,-inf
2016-06-20 00:00:00,13974,1582155,38.85,13974,APPAREL,2173,2016,N,AD,3.6597080768136565
2014-11-12 00:00:00,12842,1165005,29.95,12842,APPAREL,2236,2014,N,WEB,3.3995293245614584
2013-10-09 00:00:00,10824,1106876,32.36,10824,APPAREL,2236,2013,N,WEB,3.4769230921902907
2014-08-19 00:00:00,12510,1143499,26.95,12510,APPAREL,2141,2014,N,PARTNER,3.2939832973550063
2014-09-15 00:00:00,12510,1144928,0.0,12510,APPAREL,2180,2014,N,PARTNER,-inf
2015-06-17 00:00:00,13160,1320198,14.99,13160,APPAREL,2236,2015,N,WEB,2.7073833121145063
2013-12-23 00:00:00,11153,1093071,15.95,11153,APPAREL,2236,2013,N,WEB,2.7694588292308535
2014-08-20 00:00:00,12510,1141527,0.0,12510,APPAREL,2180,2014,N,PARTNER,-inf
2016-04-06 00:00:00,11016,1528132,12.95,11016,APPAREL,2236,2016,N,WEB,2.5610957881455465
2014-11-14 00:00:00,12831,1167068,32.67,12831,APPAREL,2141,2014,N,PARTNER,3.4864572256129787
2014-03-20 00:00:00,11155,1107713,15.95,11155,APPAREL,2236,2014,N,WEB,2.7694588292308535
2013-12-19 00:00:00,11126,1069970,29.95,11126,APPAREL,2236,2013,N,WEB,3.3995293245614584
2013-11-14 00:00:00,10823,1081505,32.35,10823,APPAREL,2141,2013,N,PARTNER,3.4766140209469096
2014-08-20 00:00:00,12510,1141040,0.0,12510,APPAREL,2010,2014,N,INSERT,-inf
2014-08-04 00:00:00,11016,1143670,69.9,11016,APPAREL,2141,2014,N,PARTNER,4.247065649239764
2016-06-13 00:00:00,13973,1577117,12.95,13973,APPAREL,2173,2016,N,AD,2.5610957881455465
2015-02-11 00:00:00,10824,1237002,32.4,10824,APPAREL,2141,2015,N,PARTNER,3.4781584227982836
