polar,channel,orderyear,totalprice
N,AD,2010,39.75275000000001
N,AD,2011,42.58547619047619
N,AD,2012,54.11756410256412
N,AD,2013,121.22464285714283
N,AD,2014,65.70604166666668
N,AD,2015,94.09200320512818
N,AD,2016,143.2373039215686
N,CATALOG,2014,95.29
N,EMAIL,2014,51.95
N,EMPLOYEE,2011,16.63
N,EMPLOYEE,2014,12.475
N,EMPLOYEE,2015,24.44
N,INSERT,2011,42.27458333333333
N,INSERT,2013,16.92759803921568
N,INSERT,2014,26.133904761904763
N,INSERT,2015,79.95
N,INTERNAL,2015,36.94
N,MAIL,2014,30.305
N,MAIL,2015,26.626250000000002
N,MAIL,2016,12.55
N,PARTNER,2010,85.82194534632035
N,PARTNER,2011,35.10145230746619
N,PARTNER,2012,55.31111805555554
N,PARTNER,2013,116.72498148148148
N,PARTNER,2014,77.34086264925553
N,PARTNER,2015,79.76051400560225
N,PARTNER,2016,167.40160714285713
N,REFERRAL,2010,21.09
N,REFERRAL,2011,25.0
N,REFERRAL,2013,29.95
N,REFERRAL,2014,90.96666666666665
N,REFERRAL,2015,58.974999999999994
N,REFERRAL,2016,116.38000000000002
N,WEB,2010,44.519999999999996
N,WEB,2011,63.109705882352955
N,WEB,2012,57.42171717171717
N,WEB,2013,52.508150858983505
N,WEB,2014,64.96447073791344
N,WEB,2015,77.57399382716046
N,WEB,2016,93.55604063018238
NNE,AD,2010,39.68023015873016
NNE,AD,2011,36.248545197740135
NNE,AD,2012,52.82254545454544
NNE,AD,2013,75.83227272727271
NNE,AD,2014,70.8384738095238
NNE,AD,2015,48.542624113475185
NNE,AD,2016,107.72249999999995
NNE,BULK,2010,0.0
NNE,CATALOG,2014,27.187500000000004
NNE,EMAIL,2014,28.475
NNE,EMPLOYEE,2014,29.71
NNE,EMPLOYEE,2015,23.7
NNE,INSERT,2011,29.336666666666662
NNE,INSERT,2013,20.87666666666667
NNE,INSERT,2014,21.324772727272723
NNE,INSERT,2015,108.78
NNE,MAIL,2014,29.057142857142853
NNE,MAIL,2015,65.87133333333334
NNE,MAIL,2016,13.675
NNE,PARTNER,2010,88.99275590828923
NNE,PARTNER,2011,48.14878741496598
NNE,PARTNER,2012,57.36910819949279
NNE,PARTNER,2013,78.48822756410256
NNE,PARTNER,2014,81.20129179894178
NNE,PARTNER,2015,65.89943042793593
NNE,PARTNER,2016,144.33012962962962
NNE,REFERRAL,2010,68.67
NNE,REFERRAL,2011,17.0
NNE,REFERRAL,2013,112.475
NNE,REFERRAL,2014,44.95555555555555
NNE,REFERRAL,2015,76.10000000000001
NNE,REFERRAL,2016,13.87
NNE,WEB,2010,10.95
NNE,WEB,2011,44.16609375000001
NNE,WEB,2012,64.16578231292519
NNE,WEB,2013,44.73787884160753
NNE,WEB,2014,66.34357607293377
NNE,WEB,2015,68.26582200647242
NNE,WEB,2016,210.6250241228071
NE,AD,2010,46.141755315762744
NE,AD,2011,42.22319990892537
NE,AD,2012,56.188702718676204
NE,AD,2013,71.1587386091128
NE,AD,2014,55.24023058746121
NE,AD,2015,61.019875583566886
NE,AD,2016,89.08288922155698
NE,BULK,2010,10.0
NE,BULK,2011,2.5
NE,BULK,2012,0.0
NE,CATALOG,2014,68.26811111111111
NE,CATALOG,2015,133.17
NE,CATALOG,2016,11.983333333333334
NE,CONFERENCE,2013,100.0
NE,EMAIL,2014,23.847142857142853
NE,EMAIL,2015,156.86666666666667
NE,EMPLOYEE,2010,165.75
NE,EMPLOYEE,2011,16.63
NE,EMPLOYEE,2012,85.215
NE,EMPLOYEE,2013,93.51625000000001
NE,EMPLOYEE,2014,75.86
NE,EMPLOYEE,2015,29.5425
NE,EMPLOYEE,2016,248.785
NE,INSERT,2011,30.07318089430895
NE,INSERT,2012,23.459999999999997
NE,INSERT,2013,18.22905717761556
NE,INSERT,2014,27.63865384615381
NE,MAIL,2010,223.39
NE,MAIL,2011,0.0
NE,MAIL,2014,34.28935483870968
NE,MAIL,2015,68.50310714285712
NE,MAIL,2016,13.48673469387755
NE,PARTNER,2010,61.79575179807071
NE,PARTNER,2011,44.51907016633596
NE,PARTNER,2012,67.17576851321276
NE,PARTNER,2013,74.1351961104453
NE,PARTNER,2014,63.661935219956334
NE,PARTNER,2015,68.06615405267081
NE,PARTNER,2016,131.05670431505936
NE,REFERRAL,2010,39.41046875
NE,REFERRAL,2011,22.83235294117647
NE,REFERRAL,2012,36.74888888888889
NE,REFERRAL,2013,25.185
NE,REFERRAL,2014,142.1134615384615
NE,REFERRAL,2015,51.135151515151485
NE,REFERRAL,2016,234.9446969696969
NE,WEB,2010,28.90307692307692
NE,WEB,2011,76.79654991645783
NE,WEB,2012,62.88469662854508
NE,WEB,2013,60.983938380132265
NE,WEB,2014,62.25888349420128
