Month,Year,Channel,TotalRevenue
1,2010,AD,22175.850000000064
11,2012,AD,30960.870000000043
8,2016,AD,19568.390000000032
4,2015,AD,18026.660000000058
8,2015,AD,16669.69000000003
2,2012,AD,20139.94000000006
11,2013,AD,38407.03999999998
4,2016,AD,32709.860000000015
8,2014,AD,14313.20000000005
5,2010,AD,19780.44000000002
3,2012,AD,14022.340000000015
11,2014,AD,76398.2299999992
8,2013,AD,17720.710000000025
5,2011,AD,7931.419999999992
8,2012,AD,14453.910000000016
2,2010,AD,7621.8799999999965
11,2015,AD,47416.509999999886
5,2012,AD,10523.650000000003
8,2011,AD,27043.940000000133
5,2013,AD,15441.43000000001
1,2016,AD,16188.49000000004
12,2010,AD,45283.670000000006
8,2010,AD,22573.91000000013
5,2014,AD,31062.950000000128
7,2016,AD,28977.960000000043
1,2015,AD,24627.330000000104
2,2013,AD,16438.20000000001
4,2014,AD,13896.030000000022
9,2010,AD,23657.180000000037
4,2013,AD,22985.980000000014
10,2012,AD,10981.170000000016
10,2011,AD,22265.540000000048
3,2013,AD,20481.37000000001
3,2011,AD,20200.380000000034
10,2013,AD,14562.160000000022
10,2010,AD,17914.73000000002
3,2014,AD,10378.929999999997
9,2016,AD,6737.149999999997
3,2015,AD,39345.90000000004
3,2010,AD,14044.530000000026
10,2014,AD,120358.75999999909
9,2015,AD,13265.960000000034
12,2011,AD,32158.68000000014
3,2016,AD,31239.58000000001
2,2016,AD,8802.499999999995
10,2015,AD,25104.91000000007
4,2010,AD,23176.35000000003
9,2013,AD,13268.40000000001
4,2011,AD,9131.809999999994
2,2015,AD,29030.1800000001
11,2010,AD,57488.3199999999
9,2012,AD,12528.020000000013
4,2012,AD,10520.02
9,2011,AD,14357.570000000022
2,2014,AD,16472.16000000001
11,2011,AD,36583.680000000044
9,2014,AD,19079.09000000007
5,2015,AD,29953.180000000124
2,2011,AD,23337.84000000005
7,2010,AD,19185.85000000004
6,2013,AD,18687.72000000001
7,2011,AD,13777.369999999997
7,2013,AD,24565.010000000028
6,2010,AD,20941.540000000055
7,2014,AD,20211.750000000102
1,2011,AD,57085.23999999988
